,age,Median,mean,gender
0,    18-21,16136,17387,Male
1,    22-29,24329,27634,Male
2,    30-39,31555,37723,Male
3,    40-49,35271,44859,Male
4,    50-59,34445,43449,Male
5,    60+,29338,36861,Male
6,    18-21,14306,14293,Female
7,    22-29,22036,23888,Female
8,    30-39,27838,31643,Female
9,    40-49,27864,32856,Female
10,    50-59,26028,31380,Female
11,    60+,22643,27437,Female
