,age,Median,mean,gender
0,    18-21,18392,19966,Male
1,    22-29,26856,31647,Male
2,    30-39,34210,40283,Male
3,    40-49,38463,47535,Male
4,    50-59,36000,45607,Male
5,    60+,30944,38436,Male
6,    18-21,17005,18237,Female
7,    22-29,25115,27066,Female
8,    30-39,30540,34382,Female
9,    40-49,31679,36716,Female
10,    50-59,28811,34947,Female
11,    60+,24850,30181,Female
