,age,Median,mean,gender
0,    18-21,19360,19999,Male
1,    22-29,28657,31513,Male
2,    30-39,36053,42158,Male
3,    40-49,40000,49273,Male
4,    50-59,37877,48187,Male
5,    60+,32883,40418,Male
6,    18-21,17279,16894,Female
7,    22-29,26329,28125,Female
8,    30-39,31625,35384,Female
9,    40-49,32829,39730,Female
10,    50-59,30603,36824,Female
11,    60+,26128,31408,Female
