,age,Median,mean,gender
0,    18-21,16556,17966,Male
1,    22-29,25036,28359,Male
2,    30-39,32448,39352,Male
3,    40-49,36471,46294,Male
4,    50-59,34374,44554,Male
5,    60+,29937,37741,Male
6,    18-21,14832,14898,Female
7,    22-29,22911,24684,Female
8,    30-39,28817,32904,Female
9,    40-49,29005,34589,Female
10,    50-59,26288,32041,Female
11,    60+,22725,27297,Female
