,age,Median,mean,gender
0,    18-21,15418,16303,Male
1,    22-29,23660,26558,Male
2,    30-39,30946,37029,Male
3,    40-49,34703,43004,Male
4,    50-59,33585,42643,Male
5,    60+,28604,35620,Male
6,    18-21,13787,14005,Female
7,    22-29,21606,23454,Female
8,    30-39,27435,30977,Female
9,    40-49,27084,32023,Female
10,    50-59,25476,30153,Female
11,    60+,21910,25979,Female
