,age,Median,mean,gender
0,    18-21,18083,19340,Male
1,    22-29,27103,31065,Male
2,    30-39,34669,40994,Male
3,    40-49,38741,48489,Male
4,    50-59,36922,46230,Male
5,    60+,31569,39326,Male
6,    18-21,17282,17353,Female
7,    22-29,24729,26553,Female
8,    30-39,30254,34372,Female
9,    40-49,31410,37366,Female
10,    50-59,28682,35018,Female
11,    60+,24090,29700,Female
