,age,Median,mean,gender
0,    18-21,17637,18746,Male
1,    22-29,26138,29262,Male
2,    30-39,33463,40070,Male
3,    40-49,37693,47480,Male
4,    50-59,35647,45991,Male
5,    60+,30964,38868,Male
6,    18-21,15919,15810,Female
7,    22-29,23750,25622,Female
8,    30-39,29319,33346,Female
9,    40-49,30214,35864,Female
10,    50-59,27035,32987,Female
11,    60+,23356,28481,Female
